CUST_ID,ACCT_NBR,DATA_DT
ID27476,ACCT28942,18265
ID5709,ACCT6094,18265
ID20961,ACCT22123,18279
ID13531,ACCT14280,18265
ID713,ACCT764,18263
ID1185,ACCT1259,18261
ID29375,ACCT30929,18261
ID15982,ACCT16864,18263
ID20290,ACCT21431,18285
ID28253,ACCT29760,18263
ID21364,ACCT22529,18266
ID23833,ACCT25122,18285
ID1577,ACCT1679,18288
ID11719,ACCT12372,18260
ID3678,ACCT3916,18285
ID25942,ACCT27348,18276
ID1281,ACCT1365,18286
ID18923,ACCT19982,18281
ID16412,ACCT17308,18282
ID22602,ACCT23809,18266
ID4578,ACCT4908,18261
ID25115,ACCT26467,18281
ID20321,ACCT21463,18265
ID8146,ACCT8630,18261
ID28002,ACCT29487,18264
ID25639,ACCT27023,18261
ID28637,ACCT30159,18278
ID13123,ACCT13854,18276
ID16846,ACCT17756,18267
ID5613,ACCT5996,18261
ID10121,ACCT10710,18272
ID19628,ACCT20740,18263
ID9505,ACCT10071,18273
ID6841,ACCT7272,18265
ID27619,ACCT29088,18278
ID10186,ACCT10780,18261
ID248,ACCT266,18264
ID14676,ACCT15484,18275
ID1416,ACCT1507,18274
ID1676,ACCT1782,18264
ID11083,ACCT11711,18261
ID12648,ACCT13358,18276
ID3842,ACCT4096,18265
ID6937,ACCT7371,18278
ID20419,ACCT21566,18261
ID1917,ACCT2028,18274
ID28594,ACCT30112,18260
ID17643,ACCT18617,18289
ID27590,ACCT29059,18284
ID4633,ACCT4965,18282
ID25339,ACCT26703,18277
ID1735,ACCT1841,18266
ID7582,ACCT8053,18263
ID29430,ACCT30985,18283
ID19003,ACCT20070,18276
ID4722,ACCT5054,18286
ID23567,ACCT24849,18281
ID10910,ACCT11533,18267
ID12362,ACCT13046,18260
ID7582,ACCT8054,18260
ID5153,ACCT5520,18262
ID22693,ACCT23905,18276
ID15351,ACCT16186,18272
ID7113,ACCT7554,18287
ID6288,ACCT6682,18271
ID7239,ACCT7689,18270
ID6840,ACCT7271,18270
ID26053,ACCT27459,18289
ID12943,ACCT13663,18268
ID23732,ACCT25021,18277
ID10059,ACCT10648,18274
ID651,ACCT699,18283
ID10131,ACCT10720,18276
ID9719,ACCT10290,18283
ID3680,ACCT3918,18264
ID384,ACCT411,18279
ID5129,ACCT5495,18278
ID751,ACCT805,18277
ID12489,ACCT13177,18284
ID2043,ACCT2161,18273
ID22179,ACCT23381,18269
ID19245,ACCT20337,18268
ID5272,ACCT5645,18260
ID5595,ACCT5977,18267
ID28185,ACCT29688,18261
ID28665,ACCT30187,18279
ID12197,ACCT12874,18263
ID10723,ACCT11336,18280
ID12255,ACCT12935,18265
ID16273,ACCT17168,18280
ID9013,ACCT9551,18272
ID25734,ACCT27123,18286
ID8094,ACCT8578,18262
ID29142,ACCT30683,18282
ID25454,ACCT26823,18261
ID29348,ACCT30901,18283
ID18625,ACCT19671,18275
ID635,ACCT683,18272
ID22247,ACCT23449,18277
ID720,ACCT771,18268
ID29014,ACCT30555,18261
ID14196,ACCT14982,18286
ID17429,ACCT18397,18259
ID8,ACCT12,18271
ID29658,ACCT31228,18278
ID28089,ACCT29576,18273
ID8111,ACCT8595,18274
ID280,ACCT302,18277
ID7138,ACCT7582,18275
ID2754,ACCT2899,18264
ID27480,ACCT28946,18268
ID4259,ACCT4524,18271
ID17323,ACCT18286,18279
ID6193,ACCT6587,18289
ID8251,ACCT8739,18276
ID4699,ACCT5031,18289
ID12158,ACCT12834,18283
ID17673,ACCT18655,18261
ID18873,ACCT19929,18283
ID15840,ACCT16710,18275
ID1284,ACCT1368,18270
ID11890,ACCT12556,18267
ID10881,ACCT11503,18288
ID10138,ACCT10727,18263
ID3042,ACCT3250,18288
ID13286,ACCT14018,18288
ID28237,ACCT29744,18278
ID18578,ACCT19615,18264
ID9778,ACCT10352,18267
ID19333,ACCT20434,18284
ID25814,ACCT27208,18277
ID20765,ACCT21923,18284
ID27999,ACCT29484,18272
ID18382,ACCT19404,18269
ID6933,ACCT7367,18285
ID22533,ACCT23737,18278
ID16921,ACCT17833,18268
ID1981,ACCT2095,18284
ID17712,ACCT18694,18288
ID23605,ACCT24887,18268
ID1007,ACCT1078,18289
ID10550,ACCT11160,18286
ID23930,ACCT25226,18275
ID13905,ACCT14678,18267
ID14110,ACCT14895,18283
ID5406,ACCT5785,18261
ID12706,ACCT13417,18287
ID132,ACCT139,18272
ID18939,ACCT19999,18277
ID20946,ACCT22108,18273
ID25114,ACCT26466,18268
ID13642,ACCT14402,18268
ID13071,ACCT13797,18282
ID6535,ACCT6934,18285
ID18931,ACCT19990,18259
ID24765,ACCT26105,18276
ID19018,ACCT20087,18284
ID18235,ACCT19257,18271
ID25730,ACCT27119,18261
ID636,ACCT684,18263
ID15170,ACCT16003,18274
ID5736,ACCT6122,18260
ID26753,ACCT28178,18287
ID5906,ACCT6293,18269
ID28473,ACCT29990,18264
ID3986,ACCT4242,18288
ID27446,ACCT28910,18288
ID22308,ACCT23510,18289
ID470,ACCT508,18264
ID12510,ACCT13198,18274
ID12271,ACCT12954,18278
ID13464,ACCT14210,18286
ID25454,ACCT26822,18261
ID9219,ACCT9769,18289
ID5966,ACCT6354,18282
ID6160,ACCT6553,18274
ID26962,ACCT28398,18266
ID23430,ACCT24707,18287
ID10494,ACCT11102,18288
ID6364,ACCT6758,18267
ID16937,ACCT17849,18289
ID7062,ACCT7502,18267
ID16031,ACCT16917,18264
ID16879,ACCT17789,18283
ID1960,ACCT2074,18263
ID21834,ACCT23015,18269
ID25500,ACCT26873,18272
ID15382,ACCT16217,18270
ID11483,ACCT12125,18272
ID26246,ACCT27662,18286
ID24162,ACCT25465,18269
ID15237,ACCT16072,18262
ID29288,ACCT30832,18266
ID16242,ACCT17136,18289
ID10364,ACCT10966,18274
ID14502,ACCT15298,18265
ID21680,ACCT22860,18275
ID26998,ACCT28439,18283
ID4538,ACCT4868,18262
ID652,ACCT700,18280
ID27078,ACCT28525,18286
ID10563,ACCT11173,18288
ID6201,ACCT6595,18261
ID25143,ACCT26496,18271
ID21304,ACCT22469,18277
ID18673,ACCT19723,18259
ID9864,ACCT10442,18276
ID8914,ACCT9432,18260
ID20633,ACCT21783,18268
ID20640,ACCT21790,18265
ID7866,ACCT8345,18280
ID28667,ACCT30189,18262
ID1502,ACCT1599,18261
ID26129,ACCT27538,18278
ID22175,ACCT23377,18262
ID10253,ACCT10854,18273
ID547,ACCT590,18286
ID8864,ACCT9381,18261
ID13485,ACCT14231,18283
ID6562,ACCT6961,18266
ID22988,ACCT24222,18268
ID13643,ACCT14403,18277
ID17702,ACCT18684,18285
ID23775,ACCT25064,18280
ID23008,ACCT24242,18282
ID12314,ACCT12997,18262
ID10982,ACCT11605,18263
ID20848,ACCT22009,18282
ID11131,ACCT11761,18285
ID14052,ACCT14834,18274
ID18472,ACCT19504,18260
ID11201,ACCT11832,18269
ID21782,ACCT22962,18275
ID2131,ACCT2250,18287
ID24040,ACCT25343,18272
ID14080,ACCT14862,18281
ID29,ACCT33,18260
ID14661,ACCT15469,18272
ID13370,ACCT14111,18266
ID11519,ACCT12163,18281
ID9373,ACCT9937,18276
ID12141,ACCT12817,18268
ID22625,ACCT23835,18260
ID19625,ACCT20737,18270
ID11722,ACCT12375,18284
ID892,ACCT954,18278
ID27555,ACCT29023,18288
ID8982,ACCT9520,18274
ID18444,ACCT19474,18265
ID15530,ACCT16373,18269
ID9590,ACCT10160,18265
ID22432,ACCT23634,18286
ID1796,ACCT1903,18274
ID28578,ACCT30096,18285
ID24386,ACCT25701,18264
ID15688,ACCT16540,18260
ID29497,ACCT31056,18276
ID16703,ACCT17607,18266
ID18629,ACCT19675,18274
ID3457,ACCT3685,18283
ID7664,ACCT8138,18283
ID3489,ACCT3718,18268
ID16192,ACCT17084,18260
ID23151,ACCT24391,18263
ID6419,ACCT6814,18273
ID27555,ACCT29022,18274
ID6848,ACCT7279,18274
ID4132,ACCT4390,18282
ID24935,ACCT26287,18264
ID16100,ACCT16988,18276
ID8,ACCT11,18288
ID29746,ACCT31316,18287
ID19945,ACCT21066,18267
ID21872,ACCT23056,18282
ID5824,ACCT6210,18267
ID1152,ACCT1224,18263
ID6894,ACCT7327,18283
ID18567,ACCT19603,18269
ID1668,ACCT1774,18275
ID25697,ACCT27085,18274
ID25968,ACCT27374,18268
ID22980,ACCT24214,18271
ID19248,ACCT20340,18265
ID23690,ACCT24975,18274
ID14814,ACCT15629,18262
ID25437,ACCT26803,18271
ID20142,ACCT21277,18286
ID27854,ACCT29328,18275
ID8662,ACCT9168,18282
ID25116,ACCT26468,18270
ID4879,ACCT5212,18266
ID24872,ACCT26221,18270
ID10631,ACCT11243,18289
ID17170,ACCT18124,18269
ID18685,ACCT19738,18259
ID24122,ACCT25425,18261
ID23336,ACCT24610,18283
ID6098,ACCT6488,18283
ID24739,ACCT26079,18289
ID13099,ACCT13826,18278
ID29408,ACCT30962,18285
ID12673,ACCT13383,18268
ID26089,ACCT27498,18266
ID10477,ACCT11085,18278
ID667,ACCT715,18284
ID24678,ACCT26016,18278
ID17916,ACCT18905,18269
ID1136,ACCT1208,18274
ID8975,ACCT9513,18284
ID22563,ACCT23767,18264
ID19269,ACCT20361,18286
ID22236,ACCT23438,18274
ID4445,ACCT4774,18271
ID16890,ACCT17800,18275
ID15900,ACCT16770,18267
ID13099,ACCT13827,18278
ID2350,ACCT2477,18272
ID26827,ACCT28263,18270
ID3157,ACCT3372,18263
ID11800,ACCT12456,18262
ID9439,ACCT10004,18261
ID17245,ACCT18202,18289
ID21214,ACCT22379,18286
ID7200,ACCT7646,18279
ID23575,ACCT24857,18281
ID21394,ACCT22559,18262
ID11069,ACCT11697,18279
ID29271,ACCT30815,18271
ID24549,ACCT25877,18276
ID25403,ACCT26769,18274
ID9011,ACCT9549,18274
ID11224,ACCT11855,18262
ID22290,ACCT23492,18278
ID872,ACCT934,18270
ID18867,ACCT19923,18283
ID5389,ACCT5766,18274
ID24512,ACCT25834,18285
ID23755,ACCT25044,18263
ID18173,ACCT19191,18289
ID19763,ACCT20878,18268
ID21046,ACCT22209,18288
ID24543,ACCT25871,18285
ID19495,ACCT20601,18285
ID1110,ACCT1182,18274
ID22915,ACCT24145,18285
ID23220,ACCT24465,18261
ID12020,ACCT12688,18264
ID11764,ACCT12420,18274
ID5305,ACCT5680,18259
ID27613,ACCT29082,18261
ID14142,ACCT14928,18284
ID5828,ACCT6214,18264
ID18087,ACCT19105,18276
ID13171,ACCT13902,18276
ID27994,ACCT29479,18275
ID28561,ACCT30078,18271
ID28255,ACCT29762,18267
ID5751,ACCT6137,18262
ID14922,ACCT15742,18265
ID17817,ACCT18802,18287
ID3475,ACCT3703,18289
ID25386,ACCT26751,18280
ID6684,ACCT7089,18288
ID29496,ACCT31055,18285
ID23790,ACCT25079,18272
ID4860,ACCT5193,18274
ID1791,ACCT1898,18266
ID14573,ACCT15379,18263
ID10070,ACCT10659,18261
ID18895,ACCT19953,18279
ID18308,ACCT19330,18276
ID15255,ACCT16090,18261
ID1407,ACCT1498,18262
ID28033,ACCT29518,18278
ID3393,ACCT3618,18274
ID12879,ACCT13598,18280
ID17163,ACCT18117,18289
ID24913,ACCT26263,18260
ID6897,ACCT7330,18269
ID15722,ACCT16576,18268
ID19078,ACCT20152,18283
ID18499,ACCT19532,18269
ID1550,ACCT1647,18262
ID22649,ACCT23859,18265
ID4797,ACCT5129,18272
ID2641,ACCT2778,18268
ID9268,ACCT9820,18264
ID18012,ACCT19025,18283
ID8489,ACCT8991,18267
ID23878,ACCT25168,18285
ID21940,ACCT23126,18264
ID26946,ACCT28382,18272
ID9268,ACCT9819,18264
ID9243,ACCT9794,18275
ID12765,ACCT13482,18288
ID17645,ACCT18619,18265
ID19721,ACCT20836,18276
ID23132,ACCT24372,18277
ID463,ACCT501,18287
ID15460,ACCT16300,18286
